15C_A	15C_B	15C_C	25C_D	25C_E	25C_F	32C_G	32C_H	32C_I
TRINITY_DN57582_c0_g1	0.829027117419625	0.683447431918337	0.210655194681455	-0.0948012020949713	-1.12984814919417	-1.24101461498982	0.318999171161898	0.247536808605273	0.175998242492371
TRINITY_DN1892_c0_g1	1.31861522888705	0.625906717983469	0.664321984852501	-0.175419755140823	-0.139986061646239	-1.06294502588241	-0.44847074304471	-0.29148196751676	-0.490540378492079
TRINITY_DN5032_c0_g1	1.36665169172048	1.17386624420843	1.2553714479293	-0.772490327425204	-0.313058708787907	-0.772490327425204	-0.772490327425204	-0.392869365369496	-0.772490327425204
TRINITY_DN59382_c0_g1	0.0312811136444623	1.29569209835491	0.540399856382112	0.228173162687044	0.0572936821884882	-0.538209978314254	-0.538209978314254	-0.538209978314254	-0.538209978314254
TRINITY_DN55860_c0_g1	0.567719577052698	1.42934992895082	0.155839711992513	-0.707155535236034	-0.715159411747854	-0.323128664586706	0.135955392064548	-0.0578024472449226	-0.485618551245069
TRINITY_DN5391_c0_g1	-0.0462944771674219	1.5280670102904	0.75563199390309	1.16293828594442	0.8315314198221	-0.0535139836805021	-1.36942331706034	-1.17527746394787	-1.63365946810388
TRINITY_DN16422_c0_g1	0.123088289060297	0.732784643901094	0.388865834464585	-1.29241998687173	-1.49279878485576	-0.700359854791122	1.26101965831778	0.186625013256837	0.793195187518021
TRINITY_DN28717_c0_g1	1.7266565570641	1.42363158281008	1.06081214811063	-1.01948645723351	-0.63078935013345	-1.06382125646939	-0.523925930887914	-0.449151362372626	-0.523925930887914
TRINITY_DN59579_c0_g1	1.35293089452183	0.807267646036359	0.700923391948903	-0.359302865027634	-0.784427325646744	-0.879100319082334	-0.0626718133992676	-0.246391742881161	-0.529227866469946
TRINITY_DN1209_c0_g1	0.962686332779385	1.76145339901089	0.36330100350204	0.0933434943440301	-0.587661503189406	-0.388233063551619	-0.583957534425987	-0.810466064234667	-0.810466064234667
TRINITY_DN3358_c0_g1	0.939692192182952	2.17814822043848	0.814527379870477	-0.460040506478833	-0.421329764893218	-0.621611484623917	-0.793251734206558	-0.995194556731043	-0.640939745558339
TRINITY_DN49290_c0_g1	1.21058332044381	0.300243277931028	0.656254024804091	0.130229568950895	-0.168532541357425	-0.515474085610285	-0.166569690658875	-0.723366937251618	-0.723366937251618
TRINITY_DN59298_c0_g1	1.26631450909324	1.01217357884525	0.597986976105903	-0.749111694516365	-0.334434914089479	-0.594658101836493	-0.749111694516365	-0.30126805015428	-0.147890608931419
TRINITY_DN17249_c0_g1	0.561121367085005	1.38437060056807	0.108501541603794	-1.08866206078595	-0.219033925854141	-1.09509242182086	0.204755541755665	0.386844782345608	-0.242805424897186
TRINITY_DN10181_c1_g1	0.547683422889186	0.612289178149004	0.673707878027626	-0.658697351075183	-1.11497783258591	-0.247081368593253	0.174266452570734	-0.124385959998325	0.137195580616119
TRINITY_DN19205_c0_g1	0.489790282641044	1.22960532797519	0.964199836441003	-0.392752135810779	-0.12210454586711	-0.650199614947682	-0.602338030219334	-0.270051178213928	-0.646149941998401
TRINITY_DN53643_c0_g1	1.18187933173008	0.735897918345417	0.598175976996712	0.135565763182349	-0.735989375168845	0.349282739545657	-0.631672842097658	-1.10475447884807	-0.528385033685636
TRINITY_DN4047_c0_g1	0.465578978575436	1.05054147929659	0.562138871690843	-0.658516931872399	-0.0888211878045533	-0.975391799033476	-0.296059347714922	0.537604140621928	-0.597074203759447
TRINITY_DN60688_c0_g1	0.46057403503454	2.40531347332749	0.161874993558834	-0.597598656379484	-0.807151402845034	-1.04226572322139	-0.011576519150251	-0.21933167519302	-0.349838525131684
TRINITY_DN1464_c0_g1	0.836039320893648	2.03575452208901	1.15598606264484	-0.579298208549714	-0.662042807082623	-0.844735104598813	-0.844735104598813	-0.465114142543105	-0.631854538254428
TRINITY_DN58446_c0_g1	0.653460658710939	0.968378433657882	0.863124018523936	-1.11492603313101	-0.407376926941539	-0.883110357907936	-0.127110094377393	0.0242810865307779	0.0232792149343419
TRINITY_DN50965_c0_g1	0.891028262622038	1.3819035317816	0.264369728067729	-0.808079122001963	-0.497739001389813	0.154654968593839	-0.374051447338366	-0.204007798333103	-0.808079122001963
TRINITY_DN6087_c0_g1	1.12271458013521	1.11200456776406	0.572326942900522	-0.32951685301547	0.138011068127215	-0.600818874832864	-0.50169782839815	-0.908053084577193	-0.604970518103332
