15C_A	15C_B	15C_C	25C_D	25C_E	25C_F	32C_G	32C_H	32C_I
PSAB(DN51872_c0_g1)	1.02403645885307	0.286005227528315	0.879627860911017	-0.0946993471372335	-0.775704344670669	-0.576275905032883	-0.256934058297135	0.512453013561449	-0.998508905715931
LHR32(DN52174_c0_g1)	1.58003510818036	0.598596811702409	0.422554550256225	1.36965229551616	-0.47111730383776	-0.87493036545435	-0.87493036545435	-0.87493036545435	-0.87493036545435
PPDK2(DN53067_c0_g1)	0.68652529783677	1.59444591697685	0.615473423416672	-0.159088957407186	-0.723956241228631	-0.726305907938388	-0.484393637534548	-0.123813482659655	-0.678886411461885
RBL(DN5432_c0_g1)	0.632213158848285	0.455737208915873	0.626126387287992	-0.865146697817937	-0.802410942469974	-1.25774373975464	0.224463565782544	0.907388250498773	0.0793728087090841
PSAB(DN56163_c0_g1)	0.907861367744525	0.807813282523905	0.808911084763983	-0.14926873954139	-0.756071686524955	-0.430900364252514	-0.705035147355878	0.224862781551961	-0.708172578909637
PGL1B(DN56249_c0_g1)	-0.190738267779214	-0.0142004432652483	0.89789374695081	0.870363065226007	1.18603032814704	-0.683696454198072	-0.766890389724471	-0.79600312532351	-0.502758460033342
FCPB(DN56311_c0_g1)	-0.725536767384929	-0.350824875264421	-0.968376511952745	0.0945620079345983	0.945723414641608	-0.586478171633616	0.467359979993934	0.919245349505431	0.204325574160141
CYF(DN57840_c0_g1)	1.2317630997462	0.437134556305576	1.20802670760315	-0.00951254949008939	-0.66669173115365	-0.420208501583704	-0.669437107892468	-0.45531230253962	-0.655762170995391
FENR2(DN59460_c0_g1)	0.430755018357695	1.05424844110008	0.411206005952911	-0.499133068431291	0.132737326842101	-0.00317557376887934	-0.511516792887123	-0.28947975892552	-0.72564159823997
CAPP1(DN60018_c0_g1)	0.550492476401098	0.728676741247956	-0.40737416109291	-0.182094677254534	0.698818373564034	0.124450384933444	-0.379953693076093	-0.573046558009065	-0.559968886713931
PSAA(DN60198_c0_g1)	0.986413856178441	1.02149737124808	0.964089994925063	-0.283882157050709	-1.05026529805201	-0.868844657771866	-0.30008759245895	-0.128828967245709	-0.340092549772345
CHLH(DN779_c0_g1)	-0.0817391567054961	0.999027881188436	-0.125147806155492	-0.70074913825433	-1.12298213893738	-0.542836654513997	1.01419346231066	-0.110055964493107	0.670289515560705
CHLP(DN8649_c0_g1)	-0.0332180567715883	2.36401880025837	-0.167073803506379	-1.14585731759668	-0.702792785207686	0.0170301331056952	0.801870260825473	-1.27810511589512	0.144127884787925
